Id	Question	Answer																																																																																																																	
0	Can I configure the sorting rule of devices added on the home page of the app?	"Hello, you can manually sort the devices by clicking ""..."" on the homepage."																																																																																																																	
0	What information can I get from Message Center?	Message Center contains the Alarm, Home, and Bulletin tab pages. The Alarm tab page displays device alarms, automatic notifications, alarm notifications, and scheduled execution failure alarms. The Home tab page displays family-related messages, including messages for adding or removing family members, removing families, setting a family member as the administrator, adding devices, and sharing devices. The Bulletin tab page displays notifications for user feedback status updates and official pushes.																																																																																																																	
0	Do I need to adjust the Do Not Disturb time range setting based on the time zone?	No. The Do Not Disturb time range you set takes effect based on the time zone on your phone.																																																																																																																	
0	Can I set a Do Not Disturb time range involving two days?	Yes. If you set the end time earlier than the start time, the function stops taking effect at the end time in the next day, as shown in the following figure.																																																																																																																	
0	How can I block messages pushed by the message center?	The message center supports the do-not-disturb (DND) function. You can set the DND period for a product based on your life habits. The detailed procedure is as follows: Start your app and enter the Me page. Tap Message Center and Settings in the upper right corner and enable the DND function. Tap Add Time Period, set the time periods, and select the devices for which the DND function is enabled. Tap Save in the upper right corner. Then, you can view the time periods that you have set.																																																																																																																	
0	How long can a message be stored in the message center?	The message center only displays messages generated in the latest six months.																																																																																																																	
0	If the smart device is offline, will the mobile APP pop up an offline message prompt?	"Dear user, we are sorry for your inconvenience. This is the function of the product itself. After entering the product control pannel, you can click the icon in the upper right corner to view the product settings page. If there is an ""Offline Notification"" option and you turn it on, the App will push notifications when the device is offline. If the function is not available in the product settings page or you do not turn on the ""Offline Notification"" function, the App will not have relevant notification. Thank you for your understanding and support, and have a nice day."																																																																																																																	
0	If I log in to the app on a mobile phone without logging out of the same account on another mobile phone, will I receive in-app messages on both mobile phones?	The in-app messages are pushed to an account, so you should receive the messages on all devices that you are logged into with your app account.																																																																																																																	
0	Why do I receive messages after I enable Do Not Disturb?	The Do Not Disturb function takes effect only after you enable it, set a time range, and select a device. It could be that the messages were received outside of the time range, or on an unselected device.																																																																																																																	
0	I have a device whose old schedule (ghost schedule) is active?	"Dear User, sorry for the inconvenience. You can try to reset the schedule and refresh the cloud settings. Or you can try to ""Restore factory defaults"" your device (note: this will make the device disappear from the list) and add it again. If your problem persists, please contact us again and let us know the specific time and device ID for further investigation.Thank you for your support and understanding."																																																																																																																	
0	How do I sort the weather information items?	Tap and hold a weather information item and drag it to adjust its sequence. Only the homeowner and administrators can sort weather information items.																																																																																																																	
0	How do I screen notifications?	To screen all notifications from Message Center, use either of the following methods: In the app, choose Me—Settings—App Notification. On the Notification Settings page, switch off Enable notifications. In the app, choose Me—Message Center, and tap the gear icon in the upper right corner. On the Notification Settings page, switch off Enable notifications. To screen notifications from the Alarm, Home, or Bulletin tab pages, go to the Notifications Settings page and switch off Alarm, Home, or Bulletin as needed.																																																																																																																	
